date,strategy,strategy_raw,direction,entry_time,entry_price,exit_strategy,exit_time,exit_price,pnl
2025-05-28,esthl_costline,開盤區間突破成本線,S,09:07,21459,滿足最大預估振幅,09:56,21316,143
2025-05-29,exhaustion,放棄，bb>0.75後反向突破,S,09:01,21521,,,,
2025-04-01,skip,放棄，有行情但無策略,,,,,,,
2025-04-02,skip,放棄，無訊號,,,,,,,
2025-04-07,skip,放棄，無訊號,,,,,,,
2025-04-08,reversal,拉回進場 - 關鍵價轉折,S,09:38,18692,滿足最大預估振幅,10:24,18393,299
2025-04-09,skip,放棄，有行情但無策略,,,,,,,
2025-04-10,skip,放棄，無訊號,,,,,,,
2025-04-11,skip,放棄，有行情但無策略,,,,,,,
2025-04-14,esthl,開盤區間突破新高/低,B,09:01,19845,1R停損,,19740,-105
2025-04-15,reversal,關鍵價轉折,B,09:10,19565,滿足最大預估振幅,11:30,19814,249
2025-04-16,reversal,關鍵價轉折,S,09:42,19615,移動停損,11:14,19480,135
2025-04-17,skip,放棄，無行情也無策略,,,,,,,
2025-04-18,reversal,關鍵價轉折,S,09:37,19400,移動停損,10:30,19419,-19
2025-04-21,skip,放棄，有行情但無策略,,,,,,,
2025-04-22,reversal,關鍵價轉折,S,09:24,19015,滿足最大預估振幅,11:16,18804,211
2025-04-23,esthl,開盤區間突破新高/低,B,08:59,19245,滿足最大預估振幅,10:42,19503,258
2025-04-24,skip,放棄，有行情但無策略,,,,,,,
2025-04-25,skip,放棄，有行情但無策略,,,,,,,
2025-04-28,reversal,關鍵價轉折,B,09:10,19970,移動停損,09:54,19982,12
2025-04-29,reversal,關鍵價轉折,B,09:31,19982,滿足最大預估振幅,10:15,20184,202
2025-04-30,skip,放棄，有行情但無策略,,,,,,,
2025-03-03,reversal,關鍵價轉折,S,09:10,22754,移動停損,10:14,22721,33
2025-03-04,skip,放棄，有行情但無策略,,,,,,,
2025-03-05,skip,放棄，無訊號,,,,,,,
2025-03-06,exhaustion,放棄，bb>0.75後反向突破,S,09:03,22869,移動停損,09:56,22845,24
2025-03-07,reversal,關鍵價轉折,S,09:16,22662,滿足最大預估振幅,10:11,22559,103
2025-03-10,skip,放棄，無訊號,,,,,,,
2025-03-11,esthl,開盤區間突破新高/低,S,09:04,21779,移動停損,09:37,21797,-18
2025-03-12,skip,放棄，有行情但無策略,,,,,,,
2025-03-13,exhaustion,放棄，bb>0.75後反向突破,,,,,,,
2025-03-14,skip,放棄，無訊號,,,,,,,
2025-03-17,reversal,關鍵價轉折,S,09:48,22288,移動停損,10:26,22209,79
2025-03-18,exhaustion,放棄，bb>0.75後反向突破,S,09:11,22344,滿足最大預估振幅,10:34,22230,114
2025-03-19,reversal,關鍵價轉折,S,09:27,22208,滿足最大預估振幅,10:37,22072,136
2025-03-20,skip,放棄，無訊號,,,,,,,
2025-03-21,skip,放棄，有行情但無策略,,,,,,,
2025-03-24,skip,放棄，有行情但無策略,,,,,,,
2025-03-25,skip,放棄，有行情但無策略,,,,,,,
2025-03-26,exhaustion,放棄，bb>0.75後反向突破,S,09:00,22379,移動停損,10:40,22290,89
2025-03-27,reversal,關鍵價轉折,S,09:23,21990,移動停損,09:48,21968,22
2025-03-28,reversal,關鍵價轉折,S,09:17,21737,滿足最大預估振幅,10:53,21558,179
2025-03-31,reversal,關鍵價轉折,S,09:30,21026,滿足最大預估振幅,11:17,20753,273
2025-02-03,reversal,關鍵價轉折,S,09:16,22769,滿足最大預估振幅,11:37,22647,122
2025-02-04,skip,放棄，無訊號,,,,,,,
2025-02-05,esthl,開盤區間突破新高/低,B,09:01,23098,滿足最大預估振幅,09:56,23206,108
2025-02-06,esthl_costline,開盤區間突破成本線,B,09:12,23344,移動停損,09:39,23301,-43
2025-02-07,reversal,關鍵價轉折,B,09:34,23307,移動停損,10:03,23382,75
2025-02-10,esthl_costline,開盤區間突破成本線,S,09:02,23311,移動停損,10:38,23257,54
2025-02-11,reversal,關鍵價轉折,B,09:27,23447,移動停損,09:42,23437,-10
2025-02-12,esthl,開盤區間突破新高/低,B,09:00,23472,移動停損,10:00,23437,-35
2025-02-13,skip,放棄，有行情但無策略,,,,,,,
2025-02-14,esthl,開盤區間突破新高/低,S,08:58,23262,移動停損,09:47,23202,60
2025-02-17,skip,放棄，有行情但無策略,,,,,,,
2025-02-18,exhaustion,放棄，bb>0.75後反向突破,S,09:02,23517,移動停損,09:28,23521,-4
2025-02-19,esthl,開盤區間突破新高/低,B,09:01,23620,移動停損,10:04,23614,-6
2025-02-20,esthl_costline,開盤區間突破成本線,S,09:02,23516,滿足最大預估振幅,09:52,23391,125
2025-02-21,skip,放棄，無訊號,,,,,,,
2025-02-24,reversal,關鍵價轉折,B,09:35,23459,移動停損,11:23,23517,58
2025-02-25,esthl_costline,開盤區間突破成本線,S,09:07,23230,移動停損,09:43,23241,-11
2025-02-26,esthl_costline,開盤區間突破成本線,S,09:06,23127,1R停損,,23177,-50
2025-02-27,skip,放棄，無訊號,,,,,,,
2025-01-02,reversal,關鍵價轉折,S,09:46,22930,滿足最大預估振幅,11:17,22771,159
2025-01-03,skip,放棄，無訊號,,,,,,,
2025-01-06,esthl,開盤區間突破新高/低,B,09:00,23314,滿足最大預估振幅,10:18,23479,165
2025-01-07,exhaustion,放棄，bb>0.75後反向突破,S,09:03,23899,,,,
2025-01-08,skip,放棄，無訊號,,,,,,,
2025-01-09,exhaustion,放棄，bb<0.25後反向突破,B,08:59,23345,移動停損,10:33,23323,-22
2025-01-10,reversal,關鍵價轉折,S,09:11,23106,,,,
2025-01-13,esthl_costline,開盤區間突破成本線,S,09:03,22924,滿足最大預估振幅,09:45,22552,372
2025-01-14,reversal,關鍵價轉折,S,09:39,22675,移動停損,10:53,22682,-7
2025-01-15,skip,放棄，有行情但無策略,,,,,,,
2025-01-16,esthl_costline,開盤區間突破成本線,B,09:07,23045,移動停損,11:30,23158,113
2025-01-17,exhaustion,放棄，bb>0.75後反向突破,S,08:59,23222,滿足最大預估振幅,,23005,217
2025-01-20,esthl,開盤區間突破新高/低,B,09:07,23304,滿足最大預估振幅,10:30,23352,48
2025-01-21,reversal,關鍵價轉折,B,09:47,23256,滿足最大預估振幅,,23403,147
2025-01-22,esthl_costline,開盤區間突破成本線,B,09:33,23621,移動停損,,23654,33
2024-12-02,esthl,開盤區間突破新高/低,B,09:00,22598,滿足最大預估振幅,10:00,22719,121
2024-12-03,exhaustion,放棄，bb>0.75後反向突破,S,09:01,23076,1R停損,,23151,-75
2024-12-04,exhaustion,放棄，bb>0.75後反向突破,S,09:02,23148,移動停損,09:44,23135,13
2024-12-05,esthl,開盤區間突破新高/低,B,08:59,23293,1R停損,,23223,-70
2024-12-06,exhaustion,放棄，bb>0.75後反向突破,S,09:00,23297,移動停損,,23273,24
2024-12-09,skip,放棄，無訊號,,,,,,,
2024-12-10,reversal,關鍵價轉折,S,09:10,23319,滿足最大預估振幅,09:43,23140,179
2024-12-11,exhaustion,放棄，bb<0.25後反向突破,B,08:59,22917,移動停損,,22984,67
2024-12-12,reversal,關鍵價轉折,S,09:28,23187,移動停損,10:14,23142,45
2024-12-13,skip,放棄，無訊號,,,,,,,
2024-12-16,esthl,開盤區間突破新高/低,B,08:58,23231,1R停損,,23171,-60
2024-12-17,esthl_costline,開盤區間突破成本線,B,09:06,23135,移動停損,09:55,23156,21
2024-12-18,esthl,開盤區間突破新高/低,S,09:07,22924,移動停損,09:40,22960,-36
2024-12-19,exhaustion,放棄，bb<0.25後反向突破,B,08:59,22758,移動停損,11:00,22821,63
2024-12-20,skip,放棄，無訊號,,,,,,,
2024-12-23,esthl_costline,開盤區間突破成本線,B,09:25,22990,滿足最大預估振幅,10:42,23166,176
2024-12-24,exhaustion,放棄，bb>0.75後反向突破,S,08:59,23375,滿足最大預估振幅,10:25,23305,70
2024-12-25,reversal,關鍵價轉折,B,09:20,23290,移動停損,,23268,-22
2024-12-27,exhaustion,放棄，bb<0.25後反向突破,B,09:07,23244,移動停損,10:00,23259,15
2024-12-30,exhaustion,放棄，bb<0.25後反向突破,B,08:59,23252,滿足最大預估振幅,09:32,23277,25
2024-12-31,esthl_costline,開盤區間突破成本線,S,09:04,22996,移動停損,,23025,-29
2024-11-01,exhaustion,放棄，bb<0.25後反向突破,B,09:02,22385,滿足最大預估振幅,10:00,22544,159
2024-11-04,reversal,關鍵價轉折,S,09:22,22894,移動停損,10:57,22887,7
2024-11-05,reversal,關鍵價轉折,B,09:24,22869,滿足最大預估振幅,09:45,23105,236
2024-11-06,esthl_costline,開盤區間突破成本線,B,09:10,23164,移動停損,09:45,23126,-38
2024-11-07,esthl_costline,開盤區間突破成本線,B,09:00,23160,移動停損,09:26,23338,178
